00000000004_0025819_0026242	and then the prophets recorded their history and their prophecies.
00000005387_0024159_0024994	the broadcasts were not so closely confined. the same wriggly patterns and alien noises were picked up in montevideo.
00000005387_0055742_0055989	i guess i gotta go over an boss. the job.
00000005387_0063644_0064714	it picked up leaves, retrieved a stray cigarette butt, and snapped up a scrap of paper blown from somewhere. its tactile units touched a new planted shrub.
00000005387_0064937_0065438	and went on upon its proper course. once where the grass grew taller than elsewhere.
00000005387_0072347_0073505	and by the most sensitive and complicated instruments yet devised for the detection of short wave radiation. nothing had yet been detected reaching betsy, but something must.
00000005387_0090177_0090985	by the way, it is ordered that from now on, no one is to refer to betsy or any work on these broadcasts over any type.
00000005387_0132416_0132887	i cannot bear the thought of answering them. that seems to me madness.
00000005387_0144079_0145157	that came from nowhere. but i bet if you look over the record tapes, you will find they got breaks where one transmitter switched off or broke down, and another took over.
00000005387_0218964_0219419	somebody had a bright notion with this one too. he said.
00000005387_0231188_0231394	they got a special talent for.
00000005387_0236340_0237174	there was a curious alteration in the thunder of motors. the rate of rise of the climbing jet dwindled almost to zero.
00000005387_0242036_0242434	it darted into zestful, exuberant maneuverings.
00000005387_0242452_0242995	remarkably like a dog dashing madly here and there in pure high spirits.
00000005387_0243004_0243395	the formation of planes attacked it resolutely suddenly.
00000005387_0244069_0244474	and one, two, three planes disgustedly descended.
00000005387_0244474_0244723	to lower levels as out of action.
00000005387_0247785_0249204	it's got a lot of experience, said the sergeant. you can't beat experience. he led the way into communications center. in the room where betsy stood, howell and graves had been drawing diagrams at each other to the point of obstinacy.
00000005387_0255011_0256308	then from their history books which we wrote for them, they learn how to make a transmitter to broadcast back to us. then they tell us how to make a transmitter to broadcast ahead to them.
00000005387_0305803_0306562	the broadcast ended abruptly. betsy's screen went blank. the colonel was notified.
00000005387_0306562_0308161	courier took tapes to washington by high speed jet. life in research establishment eighty three went on sedately. the barracks and the married quarters and the residences of the officers were equipped with mahon modified machines, which laundered diapers perfectly.
00000005387_0334242_0335875	howell said with precise hot anger. this is the most idiotic situation i have ever seen, even in government service. you ain't been around much. the sergeant told him kindly. it happens everywhere, all the time.
00000005387_0356478_0357628	the standby light glowed closely observed. it was not a completely steady glow. there were the faintest possible variations of brightness, but there was no impression of life.
00000005387_0358007_0358858	no habits, said the sergeant, no experience. it's like a newborn baby. it'll get to have personality after it's worked a while.
00000005387_0403760_0405643	passenger cars other than jeeps showed promise. it had long been known that most accidents occurred with new cars, and that ancient jalopies were relatively safe even in the hands of juvenile delinquents. it was credible that part of the difference was in the operating habits of the cars.
00000005387_0420639_0421135	but i got to make this gadget turn out a freak wave type by guess. and golly.
00000005387_0423068_0423397	i saw the diagrams of the transmitters. they want us to make.
00000005387_0477442_0479079	the sergeant murmured through now chattering teeth. what had to be devised? and at once it must be the circuit diagram for a transmitter to be given to the man whose face filled the screen. the transmitter must be of at least twenty kilowatt power.
